,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.20257439,0.015963804,-0.32557905,0.011401588,-0.114757486,0.01483801,0.05281387,0.0027401126,0.07983462,0.0036187128,0.12848765,0.0051031723,0.16749991,0.00769767,0.25263822,0.011584554,0.31799892,0.010601471,0.2575731,0.0088536125,0.0017164095,7.4153e-05
1,2018-05-05,0.20257439,0.015963804,-0.32557905,0.011401588,-0.114757486,0.01483801,0.05281387,0.0027401126,0.07983462,0.0036187128,0.12848765,0.0051031723,0.16749991,0.00769767,0.25263822,0.011584554,0.31799892,0.010601471,0.2575731,0.0088536125,0.0017164095,7.4153e-05
2,2018-05-09,0.22321303,0.024074716,-0.35098878,0.017873324,-0.14275563,0.022792038,0.058043893,0.0031965277,0.0738731,0.0056469473,0.116115846,0.008124791,0.1535376,0.011375976,0.24179013,0.016849877,0.32187483,0.013397715,0.2673333,0.011697766,0.0016679161,4.66748e-05
3,2018-05-13,0.17956108,0.011440306,-0.29836786,0.00873739,-0.0966248,0.010112598,0.054366212,0.0019128387,0.0882741,0.0031744558,0.14635783,0.0041115726,0.18839325,0.00580021,0.27086473,0.008079407,0.3287658,0.00796452,0.2612997,0.007348571,0.0022163524,5.9714414e-05
4,2018-05-17,0.19257607,0.014472064,-0.31366527,0.010944293,-0.124585226,0.013076355,0.05509664,0.0024409876,0.08124568,0.0037870952,0.13100696,0.0052589285,0.16981179,0.007812862,0.2508335,0.011410597,0.3220774,0.010203636,0.26330906,0.008667387,0.0020994628,0.00011209752
5,2018-05-21,0.20863932,0.021982362,-0.33862692,0.015424918,-0.14168406,0.019301997,0.055705376,0.0032936498,0.07648946,0.0034538277,0.12122825,0.0071530268,0.16080198,0.011799971,0.24552101,0.016042503,0.32626283,0.014918554,0.27193937,0.0120780775,0.0015004613,6.934898e-05
6,2018-05-25,0.20863932,0.021982362,-0.33862692,0.015424918,-0.14168406,0.019301997,0.055705376,0.0032936498,0.07648946,0.0034538277,0.12122825,0.0071530268,0.16080198,0.011799971,0.24552101,0.016042503,0.32626283,0.014918554,0.27193937,0.0120780775,0.0015004613,6.934898e-05
7,2018-05-29,0.18661843,0.013561506,-0.31070447,0.011057578,-0.11717681,0.010934299,0.053436797,0.0023461694,0.081919216,0.0039026882,0.13576813,0.004941156,0.17698714,0.007023477,0.25816873,0.008768117,0.32662287,0.008041471,0.2586254,0.0070262034,0.0016464621,9.957515e-05
8,2018-06-01,0.18733475,0.014236503,-0.31119946,0.011304179,-0.1123665,0.012612511,0.056407437,0.002522621,0.084446475,0.0041519953,0.13703234,0.0052765757,0.17856833,0.007520917,0.26091313,0.010735608,0.32685837,0.009995567,0.2692266,0.008460596,0.00187759,6.0549606e-05
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
10,2018-06-09,,,,,,,,,,,,,,,,,,,,,,
11,2018-06-13,0.21889281,0.021763671,-0.34019747,0.015135099,-0.14743577,0.016754275,0.061433293,0.0013995735,0.0756795,0.003745974,0.1187316,0.0053122267,0.15458573,0.007754805,0.24113373,0.008670427,0.32448497,0.009211856,0.26822722,0.011232127,0.0019828186,0.00010351173
12,2018-06-17,0.18326141,0.017041031,-0.2726367,0.015010765,-0.11943174,0.01610036,0.06329454,0.0054112193,0.090291925,0.006084506,0.14778295,0.010504375,0.17842512,0.011721513,0.2583435,0.01397303,0.32822284,0.012822635,0.26857796,0.012050909,0.0014592907,8.383784e-05
13,2018-06-21,,,,,,,,,,,,,,,,,,,,,,
14,2018-06-25,,,,,,,,,,,,,,,,,,,,,,
15,2018-06-29,,,,,,,,,,,,,,,,,,,,,,
16,2018-07-01,,,,,,,,,,,,,,,,,,,,,,
17,2018-07-05,0.22358538,0.017981365,-0.33778188,0.010852826,-0.14482538,0.016520329,0.050601788,0.010662562,0.07032791,0.005090327,0.11679327,0.006814336,0.149888,0.011507336,0.23591462,0.012850005,0.315531,0.009729242,0.24681056,0.010917986,0.002698334,8.725308e-05
18,2018-07-09,0.22358538,0.017981365,-0.33778188,0.010852826,-0.14482538,0.016520329,0.050601788,0.010662562,0.07032791,0.005090327,0.11679327,0.006814336,0.149888,0.011507336,0.23591462,0.012850005,0.315531,0.009729242,0.24681056,0.010917986,0.002698334,8.725308e-05
19,2018-07-13,,,,,,,,,,,,,,,,,,,,,,
20,2018-07-17,,,,,,,,,,,,,,,,,,,,,,
21,2018-07-21,,,,,,,,,,,,,,,,,,,,,,
22,2018-07-25,,,,,,,,,,,,,,,,,,,,,,
23,2018-07-29,,,,,,,,,,,,,,,,,,,,,,
24,2018-08-01,,,,,,,,,,,,,,,,,,,,,,
25,2018-08-05,,,,,,,,,,,,,,,,,,,,,,
26,2018-08-09,,,,,,,,,,,,,,,,,,,,,,
27,2018-08-13,,,,,,,,,,,,,,,,,,,,,,
28,2018-08-17,,,,,,,,,,,,,,,,,,,,,,
29,2018-08-21,,,,,,,,,,,,,,,,,,,,,,
30,2018-08-25,,,,,,,,,,,,,,,,,,,,,,
31,2018-08-29,0.016112939,0.0007484301,-0.011894402,0.000895542,0.6993799,0.00034075187,0.89085066,0.00023023527,0.8671407,0.00058544154,0.8892228,0.00073101366,0.8817238,0.00080603943,0.91061306,0.0012317523,0.1611013,0.0002804071,0.19491301,0.00044949644,0.26984638,0.0007526837
32,2018-09-01,0.016112939,0.0007484301,-0.011894402,0.000895542,0.6993799,0.00034075187,0.89085066,0.00023023527,0.8671407,0.00058544154,0.8892228,0.00073101366,0.8817238,0.00080603943,0.91061306,0.0012317523,0.1611013,0.0002804071,0.19491301,0.00044949644,0.26984638,0.0007526837
33,2018-09-05,,,,,,,,,,,,,,,,,,,,,,
34,2018-09-09,,,,,,,,,,,,,,,,,,,,,,
35,2018-09-13,0.6646023,0.030630715,-0.6368985,0.021988936,0.17800319,0.026839614,0.026566032,0.0016772562,0.04103452,0.0035328602,0.08366586,0.006060771,0.076039694,0.007899673,0.3768695,0.0048627965,0.26322517,0.013333954,0.15062974,0.013076194,0.0014557816,5.4801618e-05
36,2018-09-17,0.6646023,0.030630715,-0.6368985,0.021988936,0.17800319,0.026839614,0.026566032,0.0016772562,0.04103452,0.0035328602,0.08366586,0.006060771,0.076039694,0.007899673,0.3768695,0.0048627965,0.26322517,0.013333954,0.15062974,0.013076194,0.0014557816,5.4801618e-05
37,2018-09-21,,,,,,,,,,,,,,,,,,,,,,
38,2018-09-25,0.59601164,0.023916708,-0.59108454,0.018117355,0.097758606,0.016084157,0.033829153,0.0009366025,0.043033745,0.0030649821,0.075069204,0.0048023514,0.07395374,0.0057061855,0.29181957,0.0060505066,0.23994848,0.008946616,0.14773245,0.008214704,0.0011397756,0.000102361366
39,2018-09-29,0.5529636,0.029433731,-0.57217324,0.021365047,0.059448987,0.024815943,0.03526349,0.0010810107,0.045910437,0.0034652012,0.077936515,0.005141228,0.08246578,0.0066201924,0.28616428,0.0058917115,0.25426504,0.0119112125,0.16127215,0.009953035,0.0012420837,0.000112639864
40,2018-10-01,0.5529636,0.029433731,-0.57217324,0.021365047,0.059448987,0.024815943,0.03526349,0.0010810107,0.045910437,0.0034652012,0.077936515,0.005141228,0.08246578,0.0066201924,0.28616428,0.0058917115,0.25426504,0.0119112125,0.16127215,0.009953035,0.0012420837,0.000112639864
41,2018-10-05,0.333042,0.06385872,-0.40639645,0.04562169,-0.079800054,0.053267818,0.052147556,0.0073002386,0.06704828,0.009181833,0.10503769,0.013367058,0.12502141,0.020397523,0.24884114,0.025083458,0.29303807,0.038250916,0.2300634,0.035996776,0.0012828066,0.00013200882
42,2018-10-09,0.3411429,0.041363623,-0.4334006,0.028270448,-0.07958159,0.034826264,0.03658464,0.0020931663,0.053232282,0.0024845055,0.08704052,0.00440132,0.108224206,0.007098958,0.22064832,0.014990363,0.25879914,0.016795445,0.19871429,0.014626134,0.0015260131,0.00014330499
43,2018-10-13,0.28993532,0.044367354,-0.39915064,0.03236095,-0.10840118,0.035569597,0.037579816,0.0015087994,0.05396666,0.002753104,0.08761504,0.004217495,0.11240659,0.007485365,0.204151,0.007104267,0.25394106,0.01081204,0.20500934,0.014294514,0.0011135084,0.00010124073
44,2018-10-17,0.28993532,0.044367354,-0.39915064,0.03236095,-0.10840118,0.035569597,0.037579816,0.0015087994,0.05396666,0.002753104,0.08761504,0.004217495,0.11240659,0.007485365,0.204151,0.007104267,0.25394106,0.01081204,0.20500934,0.014294514,0.0011135084,0.00010124073
45,2018-10-21,0.32003573,0.04978656,-0.4195196,0.0400102,-0.08757075,0.040119752,0.041133475,0.0040014763,0.049506307,0.0035613352,0.07559543,0.0043237386,0.09528619,0.0064195,0.18575907,0.017561944,0.2207855,0.011238315,0.16568261,0.014007567,0.0013795933,0.0001070408
46,2018-10-25,0.27394614,0.04505721,-0.35317644,0.03344802,-0.055174515,0.041274805,0.037249785,0.0036209647,0.055630106,0.004508433,0.0956631,0.0063855653,0.11415221,0.009355595,0.20043147,0.01437592,0.22414503,0.019804573,0.1676567,0.023119537,0.0029963783,0.00016164138
47,2018-10-29,,,,,,,,,,,,,,,,,,,,,,
48,2018-11-01,,,,,,,,,,,,,,,,,,,,,,
49,2018-11-05,,,,,,,,,,,,,,,,,,,,,,
50,2018-11-09,0.28022727,0.04973036,-0.3942316,0.034266576,-0.124341525,0.04843064,0.034068722,0.0020324255,0.050992005,0.0033011532,0.08231485,0.004973897,0.10665501,0.008757471,0.18957126,0.009359351,0.24389139,0.017215243,0.20369548,0.020434445,0.0011313276,7.889217e-05
51,2018-11-13,0.30331302,0.05182502,-0.39756224,0.03576098,-0.107544184,0.05269239,0.03449213,0.0014133435,0.051097214,0.0032545538,0.0832504,0.0039953296,0.10335325,0.00774055,0.19340095,0.009175078,0.240414,0.015808662,0.20080091,0.01949677,0.0010727493,0.00013072963
52,2018-11-17,,,,,,,,,,,,,,,,,,,,,,
53,2018-11-21,,,,,,,,,,,,,,,,,,,,,,
54,2018-11-25,0.38023826,0.06949229,-0.44048008,0.042566653,-0.04271298,0.06443671,0.034841165,0.0019000465,0.0490559,0.003957735,0.08351432,0.0047338116,0.09666626,0.010059508,0.21570334,0.015132259,0.23508717,0.016815403,0.18692547,0.022975193,0.0011646468,8.6380685e-05
55,2018-11-29,0.47162578,0.07166477,-0.5017349,0.04067054,0.050186798,0.07435621,0.02866775,0.00134512,0.04382909,0.0030857625,0.07958166,0.004540612,0.086187005,0.010435077,0.2408078,0.017489329,0.217989,0.0193909,0.16028483,0.026336068,0.0015488573,8.047193e-05
56,2019-05-01,0.20771967,0.028420132,-0.34320113,0.02374523,-0.108475365,0.014046051,0.058575004,0.002210833,0.09051633,0.0072388425,0.14295809,0.009188217,0.19188781,0.013349506,0.29194677,0.005892522,0.36320892,0.014016883,0.2900468,0.016361438,0.0018655469,8.937587e-05
57,2019-05-05,0.20771967,0.028420132,-0.34320113,0.02374523,-0.108475365,0.014046051,0.058575004,0.002210833,0.09051633,0.0072388425,0.14295809,0.009188217,0.19188781,0.013349506,0.29194677,0.005892522,0.36320892,0.014016883,0.2900468,0.016361438,0.0018655469,8.937587e-05
58,2019-05-09,0.20208918,0.030881923,-0.3362043,0.026584458,-0.094181806,0.015402687,0.06963122,0.0023640066,0.10215571,0.009099175,0.1576689,0.011739234,0.2107159,0.01579566,0.3168419,0.01021972,0.38278753,0.013491664,0.29975417,0.015018176,0.0015761175,0.00011961091
59,2019-05-13,0.19785227,0.02406517,-0.32660264,0.021360975,-0.09118515,0.012046925,0.06508728,0.0022415025,0.098612756,0.0074501103,0.15513337,0.009705415,0.20471275,0.013265744,0.30522156,0.0076463837,0.3665675,0.012221486,0.28392342,0.013910438,0.0013840925,7.5461816e-05
60,2019-05-17,0.20143795,0.02671568,-0.31776926,0.021261461,-0.09296996,0.015338824,0.070544474,0.005762631,0.098740004,0.007847476,0.15710364,0.011182175,0.20183931,0.016109811,0.3030153,0.011808855,0.36531323,0.017895749,0.28765306,0.01887927,0.001314205,0.00011575367
61,2019-05-21,0.20143795,0.02671568,-0.31776926,0.021261461,-0.09296996,0.015338824,0.070544474,0.005762631,0.098740004,0.007847476,0.15710364,0.011182175,0.20183931,0.016109811,0.3030153,0.011808855,0.36531323,0.017895749,0.28765306,0.01887927,0.001314205,0.00011575367
62,2019-05-25,0.2020906,0.024995953,-0.33245337,0.021053623,-0.099888995,0.01356367,0.07035897,0.0024811116,0.10004039,0.007372098,0.15588938,0.009578905,0.20664728,0.014055162,0.3108162,0.009044344,0.37990105,0.013621704,0.297732,0.015571285,0.0018947289,6.7925845e-05
63,2019-05-29,,,,,,,,,,,,,,,,,,,,,,
64,2019-06-01,0.19023655,0.016553067,-0.31324223,0.013613796,-0.11728068,0.0106620835,0.060725123,0.0023121762,0.08786254,0.0043501896,0.13994806,0.005731869,0.18210417,0.008161568,0.26749474,0.005997728,0.3386396,0.009747899,0.27661344,0.010787668,0.0013431307,9.837404e-05
65,2019-06-05,0.19228452,0.021130044,-0.30071133,0.016616838,-0.11408767,0.014871352,0.0624491,0.004812404,0.088241816,0.006192691,0.14173764,0.008417275,0.17866805,0.011587081,0.2634892,0.011769366,0.33142328,0.015815167,0.26966342,0.01585456,0.001333184,0.00012837122
66,2019-06-09,0.20314816,0.02416932,-0.3452504,0.018205116,-0.13645925,0.014414761,0.05848383,0.0035400642,0.08028678,0.0050166766,0.12895551,0.0081430515,0.17554523,0.011975139,0.26472372,0.010680666,0.34840733,0.013925824,0.2906834,0.014272533,0.0018444686,6.5586544e-05
67,2019-06-13,0.21191023,0.02104729,-0.3543704,0.017831683,-0.12954243,0.0136158755,0.04749728,0.0060867416,0.071965635,0.005234182,0.12037059,0.006936064,0.16423538,0.009735042,0.25238106,0.010356976,0.32743576,0.011213489,0.25414714,0.012218412,0.0010746603,4.354296e-05
68,2019-06-17,,,,,,,,,,,,,,,,,,,,,,
69,2019-06-21,0.2013852,0.018228997,-0.302885,0.014318795,-0.11806211,0.013186646,0.06098987,0.0044961656,0.08748562,0.005595619,0.1420837,0.008212423,0.17656119,0.0108014215,0.26535207,0.010522387,0.3364614,0.014513565,0.26650062,0.015130502,0.0011334273,0.00011206054
70,2019-06-25,,,,,,,,,,,,,,,,,,,,,,
71,2019-06-29,,,,,,,,,,,,,,,,,,,,,,
72,2019-07-01,,,,,,,,,,,,,,,,,,,,,,
73,2019-07-05,,,,,,,,,,,,,,,,,,,,,,
74,2019-07-09,,,,,,,,,,,,,,,,,,,,,,
75,2019-07-13,,,,,,,,,,,,,,,,,,,,,,
76,2019-07-17,,,,,,,,,,,,,,,,,,,,,,
77,2019-07-21,,,,,,,,,,,,,,,,,,,,,,
78,2019-07-25,,,,,,,,,,,,,,,,,,,,,,
79,2019-07-29,,,,,,,,,,,,,,,,,,,,,,
80,2019-08-01,,,,,,,,,,,,,,,,,,,,,,
81,2019-08-05,,,,,,,,,,,,,,,,,,,,,,
